year,province,GDP,GDP_growth,income_urban,fiscal_revenue,CPI,second_portion,tertiary_portion,tertiary_growth,pop,pop_growth,city_pop_density,urban_unemploy,urban_pop_port,educ_exp_per,resid_exp_per,health_emp,health_emp_per,books,books_per,cultland,college_stu,college_stu_per,urban_area,SO2,COD,waste_water,water_per,forest_coverage,reserve_num,industry_fume,urban_green_area,urban_green_rate,fume_manage_facility,pollut_mana_inv,pollut_mana_inv_port
2015,Anhui,23831.2,5.823789837,26935.76,2454.3,1.62,49.75,39.09,14.8743251,6011,6.98,2458,3.14,50.97,1622.28,3809.01,377387,0.006278273,1942.36,0.323134254,5872.87,118.34,0.01968724,1926.36,48.01,87.11,280626.24,1495.28,28.7,105,30794,1123.03,0.582980336,9646,439.7,2
2014,Anhui,22519.7,9.403905946,24838.52,2218.44,2.41,53.13,35.39,13.02003082,5997,6.97,2416,3.21,49.31,1650.87,3542.43,365662,0.006097415,1753.37,0.292374521,5872.13,113.08,0.018856095,1835.15,49.3,88.56,272313.12,1285.36,28.7,104,29232.6,1075.4,0.586001144,7993,428.7,2.06
2013,Anhui,20584,12.22514816,15154.3,2075.07,2.26,54.6,33,15.57835821,5988,6.82,2359,3.41,47.87,1904.15,1663.55,353799,0.005908467,1776.49,0.296675017,5883.1,110.22,0.018406814,1777.26,50.13,90.27,266234.19,974.52,27.5,104,28335.4,1014.49,0.570816875,6100,506,2.66
2012,Anhui,18341.7,12.63010519,21024.21,1792.72,5.56,54.64,32.7,13.60673111,5978,6.86,2401,3.68,46.3,1932.74,1396.97,334842,0.005601238,2264.41,0.378790565,5881.29,102.3,0.017112747,1696,51.96,92.43,254328.89,1172.6,27.5,104,29645,959.52,0.565754717,5848,330.2,1.92
2011,Anhui,16284.9,22.90676086,18606.13,1463.56,5.56,54.3,32.5,18.55250133,5972,6.32,2265,3.74,44.8,1631.28,1501.39,315382,0.005281011,1375.42,0.230311453,5886.51,99.1,0.016594106,1597.7,52.95,95.33,243265.24,1009.8,27.5,102,30410.8,940.63,0.588740064,4755,267.5,1.75
2010,Anhui,13249.8,21.95274605,15788.17,1149.4,3.14,52.1,33.9,15.11592234,5956.7,6.75,2469,3.66,43.01,1479.75,1229.64,309318,0.005192775,1235.8,0.207463864,5894.88,93.9,0.015763762,1491.3,53.21,41.1,184700,1526.9,27.5,98,17849,852.81,0.571856769,4933,179.9,1.46
2009,Anhui,10864.7,14.15257888,14085.74,863.92,-0.91,48.7,36.4,13.79766091,6131,6.47,2114,3.92,42.1,1225.36,1219.83,305499,0.004982858,1136.22,0.185323764,4171.22,87.78,0.014317403,1377.67,53.84,42.4,179701.21,1195.34,27.5,102,15273,802.51,0.582512503,4733,139.2,1.38
2008,Anhui,9517.7,19.84612673,12990.35,724.62,6.17,46.6,37.4,16.11698277,6135,6.45,2043,3.92,40.5,1160.14,988.12,227438,0.003707221,1073.4,0.174963325,5730.19,80.83,0.013175224,1310.88,55.6,43.3,168670,1141.43,26.1,102,15749,780.22,0.595187965,4669,139,1.57
2007,Anhui,7941.6,22.17282279,11473.58,543.7,5.27,44.7,39,21.76933112,6118,6.35,2114,4.06,38.7,1169.99,850.24,214121,0.003499853,986.5,0.161245505,5728.15,73.05,0.011940177,1201.64,57.17,45.1,175327.09,1165.29,26.1,103,13254,770.58,0.641273593,4386,82.4,1.12
2006,Anhui,6500.3,14.52456879,9771.05,428.03,1.22,43.1,40.2,12.90207006,6110,6.3,2030.36,4.3,38.7,869.23,694.17,204498,0.003346939,889.5,0.145581015,5971.7,66.37,0.01086252,1135.85,58.4,45.6,164449,949.3,26.1,35,8677,694.59,0.611515605,3566,52,0.84
2015,Beijing,24779.1,8.082962575,52859.17,4723.86,1.62,19.6,79.65,10.28150039,2188,3.01,1541,1.39,86.71,3899.82,10463.41,289204,0.013217733,5943,2.716179159,219.33,59.34,0.027120658,1401.01,7.12,16.15,151733.34,124.01,43.8,20,3676,868.09,0.619617276,3996,412.5,1.79
2014,Beijing,22926,8.476148117,48531.85,4027.16,3.3,21.31,77.95,9.088150418,2171,4.83,1525,1.31,86.5,3610.94,10308.36,274036,0.01262257,5601,2.579917089,219.95,59.46,0.0273883,1385.58,7.89,16.88,150713.57,95.15,43.8,20,3569.2,701.11,0.506004706,4311,624.4,2.93
2013,Beijing,21134.6,11.09031943,44563.93,3661.11,3.26,22.3,76.85,11.89190629,2125,4.41,1498,1.21,86.39,3984.86,2125.99,263146,0.012383341,2071.98,0.975049412,221.16,58.92,0.027727059,1306.45,8.7,17.85,144579.93,118.59,35.8,20,3692.2,701.11,0.536652761,3316,433.5,2.22
2012,Beijing,19024.7,10.68079214,36468.75,3314.93,5.64,22.7,76.46,11.33570529,2078,4.74,1464,1.27,86.29,3695.98,1970.94,253164,0.012183061,2083.25,1.002526468,220.86,58.2,0.0280077,1261.11,9.38,18.65,140273.72,193.24,35.8,20,3263.7,682.04,0.540825146,3004,342.6,1.92
2011,Beijing,17188.8,14.86768244,32903.03,3006.28,5.64,23.1,76.1,16.22057012,2024,4.02,1428,1.39,86.2,3306.82,1923.71,235652,0.011642885,1911.69,0.94451087,221.96,57.9,0.028606719,1231.3,9.79,19.32,145468.95,134.71,35.8,20,4896.5,661.71,0.537407618,2962,213.1,1.31
2010,Beijing,14964,15.99190754,29072.93,2353.93,2.4,24,75.1,15.52992227,1961.9,3.07,1383,1.37,85.96,2901.93,1577.35,223586,0.011396401,1715.45,0.874381977,223.78,58.71,0.029925073,1371.45,11.51,9.2,136415,124.19,35.8,20,4750,653.48,0.476488388,2468,231.4,1.64
2009,Beijing,12900.9,9.20842116,26738.48,2026.81,-1.54,23.5,75.5,9.510523046,1860,3.5,1224,1.44,85,2654.98,1290.22,211714,0.011382473,1588.78,0.854182796,231.69,58.67,0.031543011,1349.83,11.88,9.9,140812.88,126.61,35.8,20,4408,643.73,0.476897091,2603,208.7,1.72
2008,Beijing,11813.1,13.3096734,24724.89,1837.32,5.06,25.7,73.2,15.95263371,1771,3.42,1181,1.82,84.9,2383.52,1286.32,194307,0.010971598,1403.1,0.792264257,231.69,58.56,0.033066064,1310.94,12.3,10.1,113259,205.53,31.7,20,4316,487.07,0.371542557,2547,152.9,1.46
2007,Beijing,10425.5,24.30547276,21988.71,1492.64,2.41,26.8,72.1,27.05814346,1676,3.4,1132,1.84,84.5,2383.96,1246.19,183050,0.010921838,3940,2.350835322,232.19,56.79,0.033884248,1289.32,15.17,10.6,107816.69,148.16,31.7,20,5146,466.35,0.361702293,2520,185.3,1.98
2006,Beijing,8387,17.30398053,19977.52,1117.15,0.89,27.8,70.9,20.79720687,1601,1.29,1093.76,2,84.5,2514.76,1212.89,166276,0.010385759,3776,2.358525921,343.9,56.58,0.035340412,1254.23,17.6,11,104922,141.52,31.7,19,4641,556.25,0.443499199,2376,165.5,2.1
2015,Fujian,26819.5,7.527032608,33275.34,2544.24,2.02,50.29,41.56,12.39467,3984,7.8,2704,3.66,63.22,2513.56,5694.37,281330,0.007061496,2821.13,0.70811496,1336.29,75.91,0.019053715,1413.54,33.79,60.94,256868.17,3468.67,66.8,92,17204,720.93,0.510017403,9016,229.7,0.88
2014,Fujian,24942.1,10.83505897,30722.39,2362.21,2.47,52.03,39.6,10.81177679,3945,7.5,2627,3.47,61.99,2170.03,5434.7,273602,0.006935412,2660.2,0.674321926,1336.39,76.65,0.019429658,1326.42,35.6,62.98,260579.22,3217.99,66.8,90,18383.3,679.84,0.512537507,8579,193.4,0.8
2013,Fujian,22503.8,11.45626452,21217.9,2119.45,2.43,52,39.1,11.43027829,3885,6.19,2570,3.55,60.8,2448.36,2013.53,261784,0.006738327,2466.74,0.634939511,1338.74,74.75,0.019240669,1263.18,36.1,63.9,259097.86,3062.75,66,90,16183.2,651.59,0.515833056,8112,282.9,1.3
2012,Fujian,20190.7,12.68577998,28055.24,1776.17,5.26,51.71,39.27,13.02292868,3841,7.01,2388,3.63,59.32,2104.83,1753.86,236756,0.006163916,2894.02,0.753454829,1338.4,70.14,0.01826087,1203.1,37.13,66,256262.77,4047.8,66,93,14739.3,620.54,0.515784224,7780,222.5,1.13
2011,Fujian,17917.7,19.4314281,24907.4,1501.51,5.26,51.6,39.2,17.94471912,3784,6.21,2306,3.69,58.11,1879.02,1661.84,217586,0.005750159,2042.61,0.539801797,1337.91,67.48,0.017832981,1130,38.92,67.94,316177.53,2090.5,66,92,14972.9,579.84,0.513132743,7592,198.4,1.13
2010,Fujian,15002.5,20.81155732,21781.31,1151.49,3.22,51,39.7,16.3545809,3693,6.11,2290,3.77,57.1,1786,1606.27,199519,0.005402627,1681.66,0.455364203,1338.33,64.78,0.017541294,1059,40.91,37.3,238502,4491.7,66,92,13507,559.14,0.527988669,6470,129.7,0.88
2009,Fujian,12418.1,13.59611409,19576.83,932.43,-1.81,49.1,41.3,16.44300582,3666,6.2,2193,3.9,55.1,1504.96,1394.91,184866,0.005042717,1542.35,0.420717403,1341.78,60.63,0.016538462,918.64,41.97,37.6,246012.63,2214.94,66,92,10497,505.9,0.550705391,6931,87.2,0.71
2008,Fujian,10931.8,17.22355666,17961.45,833.4,4.55,50,39.3,15.47266781,3639,6.3,2055,3.86,53,1453.18,1300.1,124213,0.003413383,1457.9,0.400632042,1330.1,56.26,0.015460291,877.35,42.9,37.8,236269,2886.29,63.1,92,9150,622.02,0.708975893,6833,83.1,0.77
2007,Fujian,9325.6,24.86409769,15506.05,699.46,5.23,49.2,40,27.98910335,3612,6,2055,3.89,51.4,1426.34,1261.18,113467,0.00314139,1642.6,0.454761905,1333.08,50.95,0.014105759,819.35,44.57,38.3,226997.87,3005.74,63.1,92,9153,524.76,0.6404589,6726,78,0.84
2006,Fujian,7468.6,16.41493259,13753.28,541.17,0.8,49.1,39.1,19.11753067,3585,6.25,2057.41,3.9,51.4,1321.33,1233.49,124909,0.003484212,1456.8,0.406359833,1434.7,46.13,0.012867503,780.06,46.9,39.5,213401,4577.7,63.1,93,6884,501.19,0.642501859,5704,59.8,0.79
2015,Gansu,6556.6,0.586033382,23767.08,743.86,2.13,36.74,49.21,10.61545642,2523,6.21,4049,2.14,44.24,1803.78,3845.74,181445,0.007191637,1339.57,0.530943321,5374.86,50.45,0.019996036,834.39,57.06,36.57,67071.51,635.03,11.3,60,13293,277.08,0.332074929,4669,122.6,1.8
2014,Gansu,6518.4,8.378086291,21803.86,672.67,3.16,42.8,44.02,11.81777513,2531,6.1,3682,2.19,42.28,1644.34,3537.67,178968,0.007071039,1306.64,0.516254445,5377.87,48.07,0.018992493,779.28,57.56,37.32,65973.23,766.99,11.3,60,12290.3,264.04,0.338825583,3937,143.5,2.1
2013,Gansu,6014.5,11.52213013,10954.4,607.27,2.69,45,41,16.17653428,2537,6.08,3916,2.3,40.5,1547.65,1596,160695,0.006334056,1226.22,0.483334647,5378.83,45.49,0.017930627,726.66,56.2,37.91,64969.46,1042.33,11.3,60,12676.7,259.12,0.356590427,3424,176.2,2.81
2012,Gansu,5393.1,11.96205028,17156.89,520.4,5.87,46.02,40.17,15.28935936,2550,6.06,4369,2.68,38.78,1388.21,1287.93,151899,0.005956824,1212.49,0.475486275,5383.47,43.11,0.016905882,681.6,57.25,38.93,62813.02,1038.4,11.3,59,13899.7,230.69,0.338453638,3237,121.4,2.15
2011,Gansu,4816.9,22.14164363,14988.68,450.12,5.87,47.4,39.1,28.3124039,2552,6.05,3824,3.11,37.25,1158.3,1139.85,145699,0.005709208,1159.62,0.454396552,5388.01,40.53,0.015881661,655.6,62.39,39.66,59231.69,945.4,11.3,59,12891.9,209.27,0.319203783,3288,59.6,1.19
2010,Gansu,3943.7,20.66517762,13188.55,353.58,4.1,48.2,37.3,13.38079326,2559.98,6.03,3793,3.21,36.12,1136.7,910.34,137501,0.005371175,1041.82,0.406964117,5396.52,38.15,0.01490246,632.8,55.18,16.8,51241,841.7,11.3,59,6252,198.98,0.314443742,2769,63.9,1.55
2009,Gansu,3268.3,6.400364619,11929.78,286.59,1.25,45.1,40.2,10.08396641,2554.91,6.61,3814,3.25,34.89,1025.47,801.21,126388,0.004946867,950.98,0.372216634,3485.19,36.15,0.014149226,604.44,50.03,16.8,49270.16,794.32,11.3,58,6314,192.88,0.319105288,2716,44.4,1.31
2008,Gansu,3071.7,14.825614,10969.41,264.96,8.21,46.3,39.1,18.5195716,2550.88,6.54,3802,3.23,33.56,936.33,846.26,104179,0.004084042,928.8,0.364109641,4658.77,33.19,0.013011196,581.28,50.2,17.1,47470,714.97,10.4,57,5685,184.96,0.31819433,2734,31.2,0.98
2007,Gansu,2675.1,21.42986836,10012.34,190.91,5.53,47.3,38.4,17.15522985,2548.19,6.49,3807,3.34,32.25,1058.66,768.28,101796,0.003994836,890,0.349267519,4659.75,29.6,0.011616088,553.09,52.32,17.4,44335.27,875.86,10.4,57,5818,167.66,0.303133306,2654,38.1,1.41
2006,Gansu,2203,18.14866459,8920.59,141.22,1.28,45.8,39.5,14.27483822,2546.79,6.24,3890.57,3.6,32.25,1034.42,716.35,99431,0.00390417,872,0.342391795,5024.7,26.37,0.010354211,523.82,54.6,17.8,42254,709.95,10.4,57,4761,179.72,0.343094956,2682,27.8,1.22
2015,Guangdong,74732.4,9.62169774,34757.16,9366.78,2.31,44.79,50.61,13.32640646,11678,6.8,3060,2.45,69.51,2736.65,5530.84,768482,0.006580596,7007.74,0.600080493,2615.85,181.38,0.015531769,5633.19,67.83,160.69,911522.63,1792.43,53.5,384,30547,5034.11,0.893651732,25673,292.6,0.4
2014,Guangdong,68173,9.070866545,32148.11,8065.08,2.46,46.34,48.99,9.642055211,11489,6.1,2999,2.44,68.62,2468.38,5291.47,732573,0.006376299,6366.81,0.554165724,2623.31,180.14,0.015679345,5398.07,73.01,167.06,905082.06,1608.43,53.5,390,29793.8,4862.41,0.900768238,22311,303.1,0.45
2013,Guangdong,62503.4,9.640276664,23420.7,7081.47,2.81,47.3,47.8,12.36980664,11270,6.02,3066,2.43,68.09,3222.4,2339.12,708036,0.006282484,6100.67,0.541319432,2621.83,171.88,0.015251109,5232.11,76.19,173.39,862471.08,2131.24,51.3,392,28433.7,4742.12,0.906349446,19392,351.9,0.57
2012,Guangdong,57007.7,7.41415565,30226.71,6229.18,5.32,48.54,46.47,10.64022826,11041,6.95,2927,2.48,67.15,2954.13,2099.75,662462,0.006000018,6567.24,0.594804818,2614.44,161.68,0.014643601,5026.4,79.92,180.29,838550.53,1921,51.3,368,27078.2,4654.08,0.925927105,18667,260.2,0.46
2011,Guangdong,53072.8,15.51477214,26897.48,5514.84,5.32,49.7,45.3,16.95298546,10756,6.1,2637,2.46,66.57,2647.94,2005.15,626571,0.005825316,5889.74,0.547577166,2601.32,152.73,0.014199517,4829.3,84.77,188.45,785586.5,1404.8,51.3,368,31464.9,4718.44,0.977044292,17211,332.6,0.62
2010,Guangdong,45944.6,16.41948374,23897.8,4517.04,3.12,50,45,15.20327452,10440.94,6.97,2428,2.52,66.18,2375.96,1925.21,592800,0.00567765,4615.5,0.442057899,2569.36,142.66,0.013663521,4618.1,105.05,85.8,722978,1943.3,51.3,367,24092,4889.8,1.058833719,12789,1416.2,3.08
2009,Guangdong,39464.7,7.520937658,21574.72,3649.81,-2.35,49.2,45.7,11.15961633,10130.19,7.26,2402,2.6,63.4,2168.88,1814,555799,0.00548656,4367.37,0.431124194,2841.4,133.41,0.013169546,4434.08,107.05,91.1,687429.19,1682.49,51.3,369,22682,4634.26,1.04514578,13011,240.1,0.61
2008,Guangdong,36704.2,15.63072968,19732.86,3310.32,5.6,51.6,42.9,15.70365522,9893.48,7.25,2370,2.56,63.37,1936.38,1748.16,479817,0.00484983,3994.8,0.403781076,2830.73,121.64,0.012294966,4132.63,113.6,96.4,677352,2323.8,49.4,371,20510,4397.36,1.064058481,13876,164.6,0.46
2007,Guangdong,31742.6,22.26938662,17699.3,2785.8,3.68,51.3,43.3,24.30118937,9659.52,7.3,2686,2.51,63.14,1994.86,1444.91,452061,0.004679953,4977.7,0.515315461,2847.66,111.97,0.011591673,4083.97,120.3,101.7,690887.04,1686.29,49.4,347,16939,4877.04,1.194190947,11966,153.6,0.49
2006,Guangdong,25961.2,18.20425261,16015.58,2179.46,1.79,51.3,42.7,18.80423592,9442.07,7.29,2673.6,2.6,63.14,1813.86,1254.69,408972,0.004331381,4703.4,0.498132295,3272.2,100.86,0.01068198,3705.71,126.7,104.9,618921,2396.12,49.4,299,13584,4093.23,1.104573752,9386,160.4,0.61
2015,Guangxi,14797.8,8.905047175,26415.87,1515.16,2.1,45.93,38.8,13.47863588,4811,7.9,1823,2.92,47.99,2146.86,3674.93,374817,0.007790834,2606.27,0.541731449,4402.27,87.35,0.018156308,1275.16,42.12,71.12,220066.33,5096.54,60.2,78,16773,896.62,0.703143135,6743,261.2,1.55
2014,Guangxi,13587.8,9.152983516,24669,1422.28,2.21,46.74,37.86,10.65266867,4770,7.86,1684,3.15,46.54,1688.92,3389.69,357622,0.007497317,2481.52,0.520234801,4410.33,78.56,0.016469602,1192.82,46.66,74.4,219304.06,4203.31,60.2,77,18631.3,794.21,0.665825523,6359,200.4,1.28
2013,Guangxi,12448.4,10.12774691,14082.3,1317.6,3.23,47.7,36,16.56575597,4731,7.93,1543,3.3,45.11,2083.99,1662.5,334849,0.007077764,2109.84,0.445960685,4419.45,82.72,0.017484676,1153.64,47.2,75.94,225302.67,4376.83,56.5,78,21369.4,756.74,0.655958531,6301,217.8,1.52
2012,Guangxi,11303.6,9.744754803,21242.8,1166.06,5.9,47.93,35.41,15.34437233,4694,7.89,1528,3.41,43.48,1626.05,1377.26,303759,0.006471219,2126.7,0.453067746,4414.24,62.92,0.013404346,1083.6,50.41,78.03,245577.8,4476,56.5,78,27610.7,727.85,0.671696198,6418,190.5,1.46
2011,Guangxi,10299.9,20.43286095,18854.06,947.72,5.9,48.4,34.1,17.53973779,4655,7.67,1569,3.46,41.9,1502.65,1237.91,283543,0.006091149,1996.51,0.428895811,4421.53,60.01,0.012891515,1014.4,52.1,79.33,222438.92,2917.4,56.5,78,29852.6,696.97,0.687076104,6028,161.5,1.38
2010,Guangxi,8552.4,20.23787766,17063.89,771.99,2.98,47.1,35.4,15.99878874,4610,8.65,1498,3.66,40,1243.71,1166.85,266138,0.005773059,1880.88,0.408,4424.69,56.75,0.012310195,940.5,90.38,93.7,312630,3852.9,56.5,78,14520,656.92,0.698479532,6017,164.1,1.71
2009,Guangxi,7112.9,10.18527125,15451.48,620.99,-2.14,43.6,37.6,15.77204737,4856,8.53,1391,3.74,39.2,1111.13,1021.11,245611,0.005057887,1759.71,0.362378501,4430.53,52.83,0.010879325,880.57,89.05,97.6,305507.09,3069.3,56.5,78,13184,626.04,0.71094859,6006,132.3,1.7
2008,Guangxi,6455.4,17.91115657,14146.04,518.42,7.78,42.4,37.4,17.4436159,4816,8.7,1461,3.75,38.16,1081.54,891.33,190152,0.003948339,1695.2,0.351993355,4217.52,48.42,0.010053987,840.57,92.5,101.3,345355,4763.15,52.7,76,11643,625.6,0.744256873,5687,93,1.3
2007,Guangxi,5474.8,23.92593599,12200.44,418.83,6.09,40.7,38.4,22.19923971,4768,8.2,1464,3.79,36.24,1050.04,803.04,178396,0.003741527,1570.1,0.329299497,4214.7,43.43,0.009108641,813.89,97.38,106.3,319808.27,2922.44,52.7,73,12724,606.23,0.744854956,5360,65.5,1.1
2006,Guangxi,4417.8,18.05670613,9898.75,342.58,1.34,38.9,39.7,18.22087106,4719,8.34,1617.93,4.2,36.24,850.9,826.86,162725,0.003448294,1591,0.337147701,4407.9,38.74,0.008209366,738.32,99.4,111.9,250584,4011.25,52.7,72,8969,593.32,0.803608192,4887,41.2,0.85
2015,Guizhou,10541,14.91207989,24579.64,1503.38,2.43,39.49,44.89,13.0647669,3708,5.8,2396,3.29,42.96,2625.6,3425.46,259144,0.006988781,1220.58,0.329174757,4537.41,46.51,0.01254315,789.06,85.3,31.83,112803.12,3278.7,43.8,124,18288,406.98,0.515778268,5160,137.5,1.31
2014,Guizhou,9173.1,15.05060767,22548.21,1366.67,2.54,41.63,44.55,13.32211324,3677,5.8,2393,3.27,40.24,2071.32,2942.5,237518,0.006459559,1217.32,0.331063367,4540.13,44.43,0.01208322,723.76,92.58,32.67,110912.12,3461.12,43.8,124,23207.9,410.85,0.56766055,4192,170.4,1.84
2013,Guizhou,7973.1,18.25665213,11083.1,1206.41,2.71,40.5,46.6,20.23207285,3632,5.9,3406,3.26,37.89,1950.28,1496.49,221575,0.006100633,1156.13,0.318317731,4548.14,40.46,0.011139868,695.4,98.64,32.82,93084.53,2174.15,37.1,123,24466.5,402.86,0.579321254,3464,109.7,1.37
2012,Guizhou,6742.2,20.06197023,18700.51,1014.05,5.15,39.08,47.91,19.0320274,3587,6.31,3324,3.29,36.3,1396,1013.53,191079,0.005326986,1387.37,0.386777251,4552.19,38.38,0.010699749,586.1,104.11,33.3,91455.12,2801.8,37.1,129,14311.6,388.73,0.663248592,3413,68.9,1.01
2011,Guizhou,5615.6,24.26643063,16495.01,773.08,5.15,38.5,48.8,26.80028633,3530,6.38,3502,3.63,35.03,1331.43,1102.99,169098,0.004790312,1194.27,0.338320113,4560.73,34.41,0.009747875,508.3,110.43,34.22,77927.2,1797.3,37.1,129,10820.4,353.22,0.694904584,3079,64.9,1.14
2010,Guizhou,4519,17.17271242,14142.74,533.73,2.92,39.1,47.3,19.70181652,3479,7.41,3266,3.64,33.81,1254.56,890.75,154246,0.00443363,812.06,0.233417649,4566.21,32.33,0.0092929,464,114.88,20.8,60823,2726.8,37.1,129,10192,341.9,0.736853448,2910,30,0.65
2009,Guizhou,3856.7,10.0499358,12862.53,416.48,-1.28,37.7,48.2,13.36614428,3537,6.96,3217,3.81,29.89,1146.35,747.57,143868,0.004067515,800.34,0.226276506,1757.82,29.91,0.008456319,460.31,117.55,21.6,59159.17,2397.65,37.1,129,7786,337.39,0.732962569,2441,21.2,0.54
2008,Guizhou,3504.5,23.07287094,11758.76,347.84,7.59,42.3,41.3,25.57534358,3595.98,6.72,3172,3.98,29.11,934.73,836.54,106038,0.002948793,731.4,0.20339379,4485.3,26.75,0.007438862,407.42,123.6,22.2,55866,3019.72,31.6,129,6842,334.46,0.820921899,2708,23.2,0.7
2007,Guizhou,2847.5,25.7674131,10678.4,285.14,6.41,41.9,41.8,30.26483051,3631.98,6.68,3094,3.97,28.24,1035.96,718.65,101094,0.00278344,695.6,0.191520878,4487.46,24.17,0.006654772,395.8,137.51,22.7,55112.42,2805.22,31.6,129,10356,332.55,0.840197069,2651,22.4,0.82
2006,Guizhou,2264.1,16.71220166,9116.61,226.82,1.71,43,39.8,21.0877373,3690,7.26,3044.64,4.1,28.24,938.37,627.23,95654,0.002592249,770.8,0.208888889,4903.5,22.15,0.00600271,404.65,146.5,22.9,51460,2176.13,31.6,128,8344,317.98,0.785814902,2559,19.8,0.86
2015,Hainan,3734.2,8.269063497,26356.42,627.7,2.35,23.65,53.26,10.20608976,945,8.57,2045,2.29,54.91,2516.73,3755.45,71288,0.007543704,423.62,0.448275132,725.88,19.69,0.020835979,337.81,3.23,18.79,39123.49,2184.86,57.4,49,2339,169.68,0.502294189,1032,22.2,0.6
2014,Hainan,3449,10.69033024,24486.53,555.31,2.77,25.02,51.85,11.44754478,936,8.61,2069,2.26,53.3,1912.79,3697.84,66556,0.007110684,411.87,0.440032051,725.72,22.63,0.02417735,303.06,3.26,19.6,39351.07,4265.96,57.4,49,2638.2,166.23,0.548505246,1058,21.1,0.6
2013,Hainan,3115.9,11.70502617,22411.43,481.01,3.21,27.7,48.3,20.84222926,920,8.69,1946,2.17,52.28,1923.48,1578.65,63468,0.006898696,377.13,0.409923913,726.72,18.8,0.020434783,296.03,3.24,19.44,36156.05,5636.8,55.4,50,4721.1,165.49,0.559031179,823,26.6,0.85
2012,Hainan,2789.4,13.21535839,20917.71,409.44,6.07,28.17,46.91,17.51016524,910,8.85,2079,2.01,51.02,1319.54,1521.04,59285,0.006514835,897.93,0.986736264,726.68,19.46,0.021384615,265.6,3.41,19.74,37103.42,4130.8,55.4,50,1960.3,524.7,1.975527108,555,44.7,1.57
2011,Hainan,2463.8,21.94011383,18368.95,340.12,6.07,28.3,45.5,19.15266467,890,8.97,2639,1.73,50.34,1141.81,1342.29,56893,0.006392472,516.02,0.579797753,726.59,18.06,0.020292135,238,3.26,19.99,35725.15,5545.6,55.4,50,1675.5,514.74,2.162773109,502,28,1.11
2010,Hainan,2020.5,24.69912979,15581.05,270.99,4.84,27.7,46.2,31.13003514,868.55,8.98,2739,3,49.8,1004.62,1103.76,51985,0.005985263,285.01,0.328144609,729.91,15.08,0.01736227,221.3,2.88,9.2,36689,5538.7,55.4,50,1360,505.64,2.284862178,472,23.6,1.14
